Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
SUL,SC,4147,2004-05-10,2004-06-30,1.77,2.43,2.1120327947914155
CENTRO-OESTE,DF,3535,2004-07-05,2004-12-28,1.81,2.33,2.146813578500707
CENTRO-OESTE,GO,10046,2004-07-05,2004-12-29,1.78,2.64,2.176509356957993
CENTRO-OESTE,MS,4460,2004-07-01,2004-12-29,2.039,2.96,2.388900224215247
CENTRO-OESTE,MT,5121,2004-07-01,2004-12-29,2.249,3.05,2.57280316344464
NORDESTE,AL,2654,2004-07-06,2004-12-28,2.1,2.5,2.275319140919367
NORDESTE,BA,12674,2004-07-05,2004-12-29,1.96,2.699,2.262786886539372
NORDESTE,CE,8379,2004-07-05,2004-12-29,1.81,2.672,2.280890559732665
NORDESTE,MA,4968,2004-07-05,2004-12-29,1.799,2.6,2.140612922705314
NORDESTE,PB,3642,2004-07-05,2004-12-29,1.83,2.39,2.134335529928611
NORDESTE,PE,12329,2004-07-05,2004-12-29,1.829,2.75,2.1936980290372294
NORDESTE,PI,2769,2004-07-05,2004-12-29,1.97,2.5,2.259037558685446
NORDESTE,RN,3601,2004-07-05,2004-12-29,1.93,2.47,2.1826331574562623
NORDESTE,SE,1702,2004-07-05,2004-12-28,2.019,2.459,2.145800822561692
NORTE,AC,1292,2004-07-05,2004-12-27,2.1,3.1,2.5347554179566565
NORTE,AM,3279,2004-07-05,2004-12-28,1.89,2.65,2.2964855138761817
NORTE,AP,1311,2004-07-05,2004-12-28,2.12,2.9,2.3351083142639206
NORTE,PA,5373,2004-07-01,2004-12-29,1.98,2.835,2.380497487437186
NORTE,RO,2753,2004-07-05,2004-12-28,2.09,2.99,2.450780239738467
NORTE,RR,1355,2004-07-05,2004-12-28,2.03,2.6,2.1942073800738005
NORTE,TO,1889,2004-07-01,2004-12-29,2.1,2.6,2.309254632080466
SUDESTE,ES,8003,2004-07-05,2004-12-29,1.79,2.47,2.183447332250406
SUDESTE,MG,33581,2004-07-05,2004-12-29,1.79,2.6,2.1478744825943243
SUDESTE,RJ,28100,2004-07-01,2004-12-29,1.79,2.749,2.1856517402135234
SUDESTE,SP,107483,2004-07-01,2004-12-30,1.59,2.699,2.074058371091242
SUL,PR,19895,2004-07-01,2004-12-30,1.84,2.677,2.1650444835385776
SUL,RS,20963,2004-07-05,2004-12-29,1.95,2.74,2.319576587320517
SUL,SC,13477,2004-07-05,2004-12-29,1.92,2.631,2.2611049936929586
CENTRO-OESTE,DF,3510,2005-01-03,2005-06-29,1.929,2.37,2.254640170940171
CENTRO-OESTE,GO,9894,2005-01-03,2005-06-30,1.87,2.66,2.341905397210431
CENTRO-OESTE,MS,4443,2005-01-03,2005-06-29,2.25,2.96,2.5198309700652715
CENTRO-OESTE,MT,5146,2005-01-03,2005-06-29,2.29,3.0,2.6829183832102603
